campaign,arm,pane,sample,at,readiness,outcome,opened_ms,visible_bubbles,source_epoch,expected_epoch,mount_ms,selection_and_settle_ms,idle_wait_ms,uptime_before,uptime_after,concurrent_runner_before,concurrent_runner_after
upstream,pin,cf-person-inbox,1,2026-09-15T00:13:40.037Z,visible source counts,failed or interrupted; see investigation narrative,,,,,,,,"17:13  up  2:44, 13 users, load averages: 6.74 13.82 22.93","17:14  up  2:45, 13 users, load averages: 13.19 14.41 22.66",,
upstream,pin,cf-person-inbox,1,2026-09-15T00:14:43.332Z,visible source counts,failed or interrupted; see investigation narrative,,,,,,,,"17:14  up  2:46, 13 users, load averages: 16.08 14.98 22.72","17:15  up  2:46, 13 users, load averages: 22.71 16.95 22.92",,
upstream,pin,cf-person-inbox,1,2026-09-15T00:15:39.125Z,visible source counts,completed,206.2,50,A,,5367.7,19.4,,"17:15  up  2:46, 13 users, load averages: 22.71 16.95 22.92","17:15  up  2:47, 13 users, load averages: 23.77 17.27 23.00",,
upstream,pin,cf-person-inbox-lift,1,2026-09-15T00:15:55.311Z,visible source counts,completed,3252.1,50,A,,15902.6,11.9,,"17:15  up  2:47, 13 users, load averages: 24.29 17.60 23.05","17:16  up  2:47, 13 users, load averages: 28.85 19.06 23.45",,
upstream,main,cf-person-inbox,1,2026-09-15T00:16:37.611Z,visible source counts,completed,160.3,50,A,,6889.7,19.2,,"17:16  up  2:47, 13 users, load averages: 31.78 20.36 23.81","17:16  up  2:48, 13 users, load averages: 31.40 20.65 23.87",,
upstream,main,cf-person-inbox-lift,1,2026-09-15T00:16:45.328Z,visible source counts,completed,4416.9,50,A,,10914.6,35.2,,"17:16  up  2:48, 13 users, load averages: 31.40 20.65 23.87","17:17  up  2:48, 13 users, load averages: 30.89 21.06 23.96",,
upstream,pin,cf-person-inbox-lift,2,2026-09-15T00:17:01.435Z,visible source counts,completed,4407.7,50,A,,16928.4,19.0,,"17:17  up  2:48, 13 users, load averages: 30.89 21.06 23.96","17:17  up  2:48, 13 users, load averages: 24.29 20.18 23.58",,
upstream,pin,cf-person-inbox,2,2026-09-15T00:17:23.345Z,visible source counts,completed,185.4,50,A,,3847.1,17.6,,"17:17  up  2:48, 13 users, load averages: 24.29 20.18 23.58","17:17  up  2:48, 13 users, load averages: 23.15 20.01 23.50",,
upstream,main,cf-person-inbox-lift,2,2026-09-15T00:17:28.040Z,visible source counts,completed,2545.3,50,A,,6364.8,16.3,,"17:17  up  2:48, 13 users, load averages: 23.15 20.01 23.50","17:17  up  2:48, 13 users, load averages: 23.04 20.08 23.48",,
upstream,main,cf-person-inbox,2,2026-09-15T00:17:37.503Z,visible source counts,completed,128.3,50,A,,3850.3,17.7,,"17:17  up  2:48, 13 users, load averages: 23.04 20.08 23.48","17:17  up  2:49, 13 users, load averages: 23.67 20.26 23.52",,
upstream,pin,cf-person-inbox,3,2026-09-15T00:17:42.002Z,visible source counts,completed,162.6,50,A,,3348.8,12.7,,"17:17  up  2:49, 13 users, load averages: 23.67 20.26 23.52","17:17  up  2:49, 13 users, load averages: 23.78 20.34 23.53",,
upstream,pin,cf-person-inbox-lift,3,2026-09-15T00:17:45.971Z,visible source counts,completed,4588.5,50,A,,18405.3,14.4,,"17:17  up  2:49, 13 users, load averages: 23.78 20.34 23.53","17:18  up  2:49, 13 users, load averages: 25.23 20.97 23.67",,
upstream,main,cf-person-inbox,3,2026-09-15T00:18:09.496Z,visible source counts,completed,107.7,50,A,,3346.8,12.6,,"17:18  up  2:49, 13 users, load averages: 25.23 20.97 23.67","17:18  up  2:49, 13 users, load averages: 25.23 20.97 23.67",,
