recordType,valid,arm,pane,rep,at,openMs,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,error
timing,True,start,header,round1-1,2026-09-15T05:04:55.710Z,1079.8999999985099,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:04  up  7:36, 14 users, load averages: 11.07 21.38 32.26","22:05  up  7:36, 14 users, load averages: 10.83 21.16 32.12",
timing,True,start,cf-person-inbox,round1-1,2026-09-15T05:05:03.658Z,127.39999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:36, 14 users, load averages: 10.83 21.16 32.12","22:05  up  7:36, 14 users, load averages: 10.55 20.76 31.85",
timing,True,r1,header,round1-1,2026-09-15T05:05:12.883Z,1533.300000000745,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:36, 14 users, load averages: 10.55 20.76 31.85","22:05  up  7:36, 14 users, load averages: 9.70 20.07 31.41",
timing,True,r1,cf-person-inbox,round1-1,2026-09-15T05:05:26.893Z,201.10000000149012,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:36, 14 users, load averages: 9.70 20.07 31.41","22:05  up  7:36, 14 users, load averages: 9.72 19.90 31.28",
timing,True,r1,cf-person-inbox,round1-2,2026-09-15T05:05:32.735Z,169.39999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:36, 14 users, load averages: 9.72 19.90 31.28","22:05  up  7:36, 14 users, load averages: 9.50 19.69 31.14",
timing,True,r1,header,round1-2,2026-09-15T05:05:38.515Z,1425.300000000745,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:36, 14 users, load averages: 9.50 19.69 31.14","22:05  up  7:37, 14 users, load averages: 9.44 19.34 30.88",
timing,True,start,cf-person-inbox,round1-2,2026-09-15T05:05:49.663Z,123.30000000074506,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:37, 14 users, load averages: 9.44 19.34 30.88","22:05  up  7:37, 14 users, load averages: 10.13 19.31 30.80",
timing,True,start,header,round1-2,2026-09-15T05:05:54.830Z,956.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:05  up  7:37, 14 users, load averages: 10.13 19.31 30.80","22:06  up  7:37, 14 users, load averages: 9.92 18.97 30.55",
timing,True,start,header,round1-3,2026-09-15T05:06:04.413Z,1389.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:06  up  7:37, 14 users, load averages: 9.92 18.97 30.55","22:06  up  7:37, 14 users, load averages: 9.31 18.54 30.26",
timing,True,start,cf-person-inbox,round1-3,2026-09-15T05:06:13.252Z,98.30000000074506,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:06  up  7:37, 14 users, load averages: 9.31 18.54 30.26","22:06  up  7:37, 14 users, load averages: 9.62 18.31 30.04",
