recordType,valid,arm,pane,rep,at,openMs,prepareCfcMs,prepareCfcCalls,prepareForCommitMs,prepareForCommitCalls,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,personHash,threadHash,runtimeHead,expectedWorkerSha256,instrumentationSha256,toolshed,error,errors,networkFailures
diagnostic,True,t4,header,phase6nodes-nodes,2026-09-15T06:28:45.633Z,946,471.9000000245869,963,482.19999999925494,2786,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,227.20545900000002,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:28  up 9 hrs, 14 users, load averages: 11.60 12.40 12.31","23:28  up 9 hrs, 14 users, load averages: 11.76 12.40 12.31",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t4,header,phase6-1,2026-09-15T06:29:59.383Z,808.3000000007451,397.4000000245869,959,405.40000001713634,2770,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,260.94670799999994,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:29  up  9:01, 14 users, load averages: 18.07 13.73 12.79","23:30  up  9:01, 14 users, load averages: 18.23 13.84 12.83",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t4,cf-person-inbox,phase6-1,2026-09-15T06:30:06.449Z,106.5,8,1,8.900000002235174,22,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,235.05170799999996,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 18.23 13.84 12.83","23:30  up  9:01, 14 users, load averages: 17.41 13.74 12.80",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t6,header,phase6-1,2026-09-15T06:30:09.720Z,797.7000000029802,350.9999999627471,959,359.3999999500811,2770,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,248.10216599999995,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 17.41 13.74 12.80","23:30  up  9:01, 14 users, load averages: 16.33 13.58 12.75",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,8e60339c2f129bace01f65c565f033a02493e391,ea5e426448ebdfb181df10beb9283baf1227977f2ee259027b58d5d87e5ad1d4,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t6,cf-person-inbox,phase6-1,2026-09-15T06:30:17.220Z,124,9.199999999254942,1,11.99999999254942,22,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,161.90316700000005,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 16.33 13.58 12.75","23:30  up  9:01, 14 users, load averages: 16.55 13.67 12.79",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,8e60339c2f129bace01f65c565f033a02493e391,ea5e426448ebdfb181df10beb9283baf1227977f2ee259027b58d5d87e5ad1d4,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t6,cf-person-inbox,phase6-2,2026-09-15T06:30:20.848Z,115.39999999850988,10.100000001490116,1,11.599999997764826,22,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,250.54200000000003,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 16.55 13.67 12.79","23:30  up  9:01, 14 users, load averages: 15.94 13.59 12.77",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,8e60339c2f129bace01f65c565f033a02493e391,ea5e426448ebdfb181df10beb9283baf1227977f2ee259027b58d5d87e5ad1d4,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t6,header,phase6-2,2026-09-15T06:30:24.581Z,824.5,364.6000000089407,959,373.0000000298023,2770,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,237.68937499999993,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 15.94 13.59 12.77","23:30  up  9:01, 14 users, load averages: 16.03 13.65 12.79",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,8e60339c2f129bace01f65c565f033a02493e391,ea5e426448ebdfb181df10beb9283baf1227977f2ee259027b58d5d87e5ad1d4,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t4,cf-person-inbox,phase6-2,2026-09-15T06:30:31.492Z,114.90000000223517,8.5,1,9.700000002980232,22,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,307.137375,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 16.03 13.65 12.79","23:30  up  9:01, 14 users, load averages: 15.94 13.67 12.80",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t4,header,phase6-2,2026-09-15T06:30:35.275Z,810,387.79999999701977,959,397.10000002011657,2770,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,292.41112499999997,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:01, 14 users, load averages: 15.94 13.67 12.80","23:30  up  9:02, 14 users, load averages: 15.39 13.59 12.78",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
timing,True,t4,header,phase6-3,2026-09-15T06:30:42.254Z,859.3999999985099,402.30000003427267,963,410.69999999925494,2786,50,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,043cd612f9658f02c496cf28ee535aec40cb5e25c0405e6414f6e72f84b15d28,visible source counts then runtime idle,request-failure-diagnostics,305.728917,2302c51842be6d2f922dc77db9cff5ecba81a086c00722bf9bf6bb616d59ab5d,actual config captured once before mount; replayed only until runtime idle,"23:30  up  9:02, 14 users, load averages: 15.39 13.59 12.78","23:30  up  9:02, 14 users, load averages: 15.00 13.57 12.78",6d1a4f64619b196620b3653934997f488bc38cd79cd4a0248b89fa1bb0ed49c0,417cb930f1689ce0596e1e7f96fb75bcd0f87f3fb165cfd359cbc62c5ca86582,4b2b207e41347f70f7f4620e1277903b145364a6,caa0adec3aa9d24c4d1deb8181badc2ddbd0643ac2b65df30021568bbdac8acc,1b41ad963ec6b6f1d8bb05d78366bd0fa0da7e6f202402a8068af8907d2bcfa4,"PID STARTED
83088 Mon Sep 14 15:22:33 2026",,[],[]
